Сортировка пузырьком:15:260:1004:24465:98017:2370942
Сортировка простым выбором:9:145:544:12481:49365:1225669
Сортировка пузырьком с ограничением:13:214:752:20846:117578:4138264
Сортировка перемешиванием:14:253:880:27448:130000:3443615
Быстрая сортировка:3:21:46:281:598:3529
